"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.01uF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C2","1","470uF","","","","Capacitor_SMD:CP_Elec_5x5.4","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","+5V","","","","my_footprints:Terminal_Block_5mm","~"
"J2","1","CLK_Out","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1,R3,R4","3","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1","470","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","Trigger","","","","my_footprints:slide_switch_2.54mm","~"
"SW2","1","RST","","","","my_footprints:tact_switch_5mm","~"
"U1","1","ICM7555xB","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf"
